area_type,location,society,size,total_sqft,sqft,bath,balcony,possession date,price
Super built-up  Area,Old Madras Road,Saesttt,2 BHK,1157,1157,2,2,44303,47.32
Super built-up  Area,RPC layout,,6 BHK,1300,1300,6,3,Ready to move,150
Super built-up  Area,Thigalarapalya,Prtanha,2 BHK,1400,1400,2,2,Ready to move,105
Built-up  Area,Tindlu,,3 BHK,1370.07,1370.07,3,1,Ready to move,65
Plot  Area,Magadi Road,,5 Bedroom,1200,1200,4,1,Ready to move,130
Super built-up  Area,Judicial Layout,,2 BHK,900,900,2,1,44005,40
Super built-up  Area,Kodipalya,,1 BHK,418,418,1,1,Ready to move,17
Plot  Area,Vishwapriya Nagar,,3 Bedroom,1200,1200,3,1,Ready to move,80
Built-up  Area,ISRO Layout,,2 BHK,1200,1200,2,3,Ready to move,43
Super built-up  Area,Talaghattapura,,2 BHK,1062,1062,2,1,Ready to move,42.48
Super built-up  Area,Kanakpura Road,,2 BHK,1120,1120,2,1,Ready to move,51
Super built-up  Area,Bannerghatta Road,,2 BHK,1012,1012,2,1,Ready to move,44
Plot  Area,Postal Colony,,3 Bedroom,1500,1500,2,1,Ready to move,200
Built-up  Area,ISRO Layout,,4 Bedroom,950,950,4,,Ready to move,180
Super built-up  Area,Kadabagere,Jahipa ,2 BHK,675,675,2,2,Ready to move,13.5
Super built-up  Area,Kanakpura Road,Atarebe,2 BHK,1430,1430,2,2,Ready to move,78
Super built-up  Area,Channasandra,,3 BHK,1195,1195,2,1,Ready to move,56
Super built-up  Area,Old Madras Road,Brica E,3 BHK,2640,2640,5,1,Ready to move,150
Super built-up  Area,Bisuvanahalli,Prityel,3 BHK,1075,1075,2,1,Ready to move,42
Super built-up  Area,Hennur Road,Shxorm ,3 BHK,1550 - 1590,1570,3,0,43942,75.99
Plot  Area,Kammanahalli,,6 Bedroom,782,782,4,2,Ready to move,85
Built-up  Area,Sonnenahalli,Skacak ,2 BHK,1011,1011,2,1,45191,59
Super built-up  Area,7th Phase JP Nagar,BriumMi,3 BHK,1450,1450,2,1,Ready to move,102
Super built-up  Area,Sarjapur  Road,Ahriaup,2 BHK,1129,1129,2,1,Ready to move,69
Super built-up  Area,Sarjapura - Attibele Road,Soe 2as,2 BHK,1126,1126,2,1,Ready to move,36
Plot  Area,Attibele,AkArkti,3 Bedroom,1200,1200,3,,44884,110
Super built-up  Area,Sarjapur  Road,MJinele,3 BHK,1180,1180,2,2,Ready to move,45
Plot  Area,1st Block HRBR Layout,,3 Bedroom,600,600,4,2,Ready to move,125
Plot  Area,Bannerghatta,,4 Bedroom,940,940,4,2,44524,45
Super built-up  Area,Hennur Road,Samittv,3 BHK,1933,1933,3,2,Ready to move,140
Built-up  Area,TC Palaya,,2 BHK,1082,1082,2,2,Ready to move,64
Plot  Area,LB Shastri Nagar,,8 Bedroom,2400,2400,8,1,Ready to move,250
Super built-up  Area,Anwar Layout,UKicte ,1 BHK,610,610,1,0,45078,28
Plot  Area,Raja Rajeshwari Nagar,,4 Bedroom,1560,1560,4,1,Ready to move,160
Super built-up  Area,Kathriguppe,Prone M,3 BHK,1300,1300,3,3,Ready to move,77.99
Built-up  Area,Kudlu Gate,,4 Bedroom,3850,3850,6,0,Ready to move,205
Built-up  Area,CV Raman Nagar,,2 BHK,1125,1125,2,1,Ready to move,46
Plot  Area,Bileshivale,,6 Bedroom,2400,2400,7,2,Ready to move,107
Super built-up  Area,Kengeri Satellite Town,,2 BHK,777.4,777.4,2,0,Ready to move,25
Super built-up  Area,Battarahalli,,4 BHK,2500,2500,3,1,Ready to move,65
Super built-up  Area,Old Airport Road,Roa 2ha,3 BHK,1798,1798,3,,Ready to move,150
Built-up  Area,Dodda Nekkundi Extension,AlEcone,3 BHK,1864,1864,3,2,Ready to move,120
Super built-up  Area,Whitefield,,2 BHK,1115,1115,2,1,Ready to move,51.91
Super built-up  Area,Kengeri,,1 BHK,400,400,1,1,Ready to move,25
Super built-up  Area,Rajaji Nagar,,2 BHK,1200,1200,2,1,Ready to move,70
Super built-up  Area,Ananth Nagar,,2 BHK,992,992,2,2,43706,24.8
Built-up  Area,Jakkasandra Extension,,2 BHK,950,950,2,3,Ready to move,57
Plot  Area,R.T. Nagar,,4 Bedroom,1500,1500,4,3,Ready to move,185
Super built-up  Area,Bellandur,Krine O,2 BHK,1200,1200,2,1,Ready to move,62
Built-up  Area,GM Palaya,Srg Bnc,3 BHK,1735,1735,3,2,Ready to move,70
Built-up  Area,BTM 2nd Stage,SNe 2ev,3 BHK,1750,1750,3,3,Ready to move,172
Super built-up  Area,HSR Layout,Ammesss,2 BHK,1009,1009,2,2,Ready to move,56
Super built-up  Area,Jalahalli,BrardCo,3 BHK,1470,1470,2,3,Ready to move,102
Super built-up  Area,Bannerghatta Road,,3 BHK,1527,1527,3,2,Ready to move,115
Built-up  Area,Singapura Village,Juoryma,2 BHK,985,985,2,1,Ready to move,45
Built-up  Area,Chandapura,,4 Bedroom,3300,3300,4,2,Ready to move,135
Super built-up  Area,Whitefield,Asarqz ,2 BHK,1277,1277,2,1,45140,77
Super built-up  Area,Nallurhalli,CMoneoo,2 BHK,1100,1100,2,1,44976,62
Super built-up  Area,Whitefield,Brony H,3 BHK,1820,1820,3,2,Ready to move,140
Super built-up  Area,Puttanahalli,,4 BHK,1530,1530,3,3,Ready to move,87
Super built-up  Area,Banashankari,PrdgeSo,3 BHK,1886,1886,3,2,Ready to move,205
Plot  Area,Chandra Layout,,3 Bedroom,1200,1200,2,0,Ready to move,190
Super built-up  Area,Jakkur,BrdgeNo,3 BHK,1880,1880,4,2,Ready to move,110
Super built-up  Area,Hennur,Shateor,2 BHK,1255,1255,2,2,Ready to move,52.35
Super built-up  Area,Kanakpura Road,PrarePa,2 BHK,700,700,2,1,45205,36
Super built-up  Area,Somasundara Palya,,2 BHK,1140,1140,2,2,Ready to move,46
Built-up  Area,Electronic City Phase II,Sryalan,2 BHK,1025,1025,2,1,44820,29.6
Built-up  Area,Whitefield,ArsiaEx,4 Bedroom,3453,3453,4,2,Ready to move,247
Super built-up  Area,Uttarahalli,,3 BHK,1490,1490,2,2,Ready to move,59.6
Plot  Area,Akshaya Vana,,4 Bedroom,1200,1200,4,2,Ready to move,165
Super built-up  Area,Sarjapur  Road,Adeatlm,3 BHK,1850,1850,3,2,Ready to move,140
Super built-up  Area,Kaikondrahalli,,2 BHK,1250,1250,2,1,Ready to move,78
Super built-up  Area,Kamakya Layout,,4 BHK,2400,2400,3,1,Ready to move,108
Super built-up  Area,Kodihalli,Soianal,4 BHK,3522,3522,5,3,Ready to move,716
Super built-up  Area,Jalahalli,Vaniai ,2 BHK,1244,1244,2,2,45215,88
Plot  Area,Kumaraswami Layout,,4 Bedroom,623,623,4,1,Ready to move,75
Super built-up  Area,Kengeri Satellite Town,DSestSt,2 BHK,1025,1025,2,1,44527,28.57
Super built-up  Area,Sarjapur  Road,DSlesSp,2 BHK,1034,1034,2,1,Ready to move,38
Super built-up  Area,Kengeri Satellite Town,DSestSt,3 BHK,1191,1191,2,2,44396,33.34
Super built-up  Area,Kasavanhalli,Maowsve,3 BHK,1719,1719,3,2,Ready to move,71
Super built-up  Area,7th Phase JP Nagar,,2 BHK,1035,1035,2,1,Ready to move,39.33
Plot  Area,2nd Stage Nagarbhavi,,4 Bedroom,1500,1500,3,2,Ready to move,230
Super built-up  Area,Hosa Road,SJerse ,3 BHK,1470,1470,2,2,44142,84.22
Super built-up  Area,Yelahanka,,2 BHK,1140,1140,2,1,Ready to move,50.66
Super built-up  Area,Harlur,SosicCl,3 BHK,1752.12,1752.12,3,2,Ready to move,125
Plot  Area,BTM 1st Stage,,6 Bedroom,600,600,6,2,Ready to move,80
Plot  Area,2nd Stage Nagarbhavi,,4 Bedroom,600,600,3,1,Ready to move,84
Super built-up  Area,Old Madras Road,Brica E,3 BHK,2990,2990,3,2,Ready to move,170
Super built-up  Area,Bannerghatta Road,SNity S,3 BHK,1660,1660,3,2,Ready to move,85
Super built-up  Area,Electronic City,Pao 3ow,3 BHK,1275,1275,3,3,Ready to move,63.43
Super built-up  Area,Bommasandra Industrial Area,,3 BHK,1365,1365,3,1,44954,52.81
Plot  Area,"MEI layout, Bagalgunte",,3 Bedroom,1200,1200,2,0,Ready to move,90
Super built-up  Area,Kanakpura Road,,3 BHK,2546,2546,3,,Ready to move,170
Super built-up  Area,Banashankari Stage VI,Brens7 ,3 BHK,1392,1392,3,1,44167,69.46
Super built-up  Area,Whitefield,Asarqz ,2 BHK,1245,1245,2,1,44957,59.76
Built-up  Area,Rayasandra,,5 Bedroom,1200,1200,3,1,Ready to move,65
Super built-up  Area,Yeshwanthpur,IBityin,2 BHK,1162,1162,2,2,Ready to move,64.08
Super built-up  Area,Singasandra,EAvarum,3 BHK,1476,1476,2,1,Ready to move,73
Built-up  Area,KR Puram,,1 BHK,700,700,1,1,Ready to move,21.5
Built-up  Area,Gnana Bharathi,,6 Bedroom,3600,3600,6,1,Ready to move,170
Built-up  Area,Jigani,DLhtsen,2 BHK,943,943,2,2,Ready to move,48
Plot  Area,Pai Layout,,2 Bedroom,1150,1150,2,1,Ready to move,170
Super built-up  Area,Sarjapur  Road,VHinoel,2 BHK,1113,1113,2,1,Ready to move,44.5
Super built-up  Area,Varthur,Myple M,3 BHK,1615,1615,3,2,44444,69.43
Super built-up  Area,Keshava Nagar,ETens G,2 BHK,1279,1279,2,3,Ready to move,100
Super built-up  Area,Kacharakanahalli,,2 BHK,1256,1256,2,1,Ready to move,60
Built-up  Area,Benson Town,,3 BHK,1805,1805,3,2,Ready to move,280
Built-up  Area,Sompura,Suiseit,3 BHK,1350,1350,3,1,Ready to move,65
Super built-up  Area,SRINIVASAPURA,,3 BHK,1525,1525,3,2,45049,68.63
Super built-up  Area,Rajaji Nagar,ProdsWe,2 BHK,1357,1357,2,1,45214,123
Super built-up  Area,Hebbal,Raard B,3 BHK,1645,1645,3,2,43466,117
Super built-up  Area,Ardendale,SoystAm,3 BHK,1777.26,1777.26,3,2,Ready to move,92
Super built-up  Area,Bisuvanahalli,Prityel,2 BHK,845,845,2,2,Ready to move,32
Built-up  Area,Sidedahalli,,2 BHK,900,900,2,0,Ready to move,25
Super built-up  Area,Varthur,Soamsay,2 BHK,1210,1210,2,1,45154,64.15
Super built-up  Area,Electronic City Phase II,,2 BHK,829,829,2,1,44972,22.8
Super built-up  Area,Sarjapur  Road,Adeatlm,3 BHK,1879,1879,3,2,Ready to move,155
Super built-up  Area,Hosur Road,Collsrn,3 BHK,1250,1250,2,2,44271,50
Built-up  Area,Jeevanhalli,,4 Bedroom,1200,1200,2,2,Ready to move,35
Super built-up  Area,Marathahalli,Unezes ,3 BHK,1108,1108,2,1,43545,60
Super built-up  Area,Kanakpura Road,,3 BHK,1401,1401,3,2,43910,69
Super built-up  Area,Sarjapur  Road,AsastDe,3 BHK,1157,1157,2,1,44107,75
Built-up  Area,Ramamurthy Nagar Extension,SaaceSa,2 BHK,1185,1185,2,1,Ready to move,42.66
Super built-up  Area,Green Glen Layout,Soweray,3 BHK,1751,1751,3,2,Ready to move,115
Plot  Area,Mahalakshmi Puram,,5 Bedroom,1550,1550,3,1,Ready to move,250
Super built-up  Area,Bannerghatta Road,SNity S,3 BHK,1880,1880,3,2,Ready to move,96.5
Super built-up  Area,Whitefield,Somns T,3 BHK,1235 - 1410,1322,3,0,45108,40.985
Super built-up  Area,Channasandra,,2 BHK,1175,1175,2,2,Ready to move,38
Built-up  Area,Jalahalli,Prensin,2 BHK,1407,1407,2,1,Ready to move,98.49
Super built-up  Area,Yelachenahalli,Shentnd,2 BHK,1000,1000,2,2,Ready to move,50
Super built-up  Area,Electronic City,Briumri,3 BHK,1518,1518,3,3,Ready to move,75
Plot  Area,"Gubbi Cross, Hennur Main Road",,4 Bedroom,3600,3600,4,2,Ready to move,300
Super built-up  Area,Tumkur Road,Sahtsva,2 BHK,1027,1027,2,1,43687,67
Super built-up  Area,Dairy Circle,Soeurri,4 BHK,3730,3730,6,2,Ready to move,430
Built-up  Area,HSR Layout,NRosete,2 BHK,1145,1145,2,2,Ready to move,46
Super built-up  Area,Rajaji Nagar,ProdsWe,2 BHK,1260,1260,2,2,43873,113
Super built-up  Area,Begur Road,Dhalsh ,3 BHK,1500,1500,2,3,Ready to move,47.25
Super built-up  Area,Varthur,DSingSt,3 BHK,1737,1737,2,1,Ready to move,57.32
Super built-up  Area,Hennur,Exitym ,4 BHK,3484 - 3550,3517,,,45115,161.5
Plot  Area,Byrathi Village,,3 Bedroom,1600,1600,4,1,Ready to move,120
Built-up  Area,Hegde Nagar,Sonosty,3 BHK,1500,1500,3,2,Ready to move,135
Plot  Area,Sabari Nagar,,2 Bedroom,1120,1120,2,0,Ready to move,60
Plot  Area,Banashankari Stage V,,3 Bedroom,1200,1200,4,1,Ready to move,240
Super built-up  Area,Hennur Road,Inaxyga,2 BHK,1030,1030,2,1,44584,46.5
Built-up  Area,Gubbalala,,6 Bedroom,2500,2500,6,1,Ready to move,88
Super built-up  Area,Kammasandra,Sulya A,2 BHK,1057,1057,2,1,Ready to move,35
Super built-up  Area,Old Airport Road,Jaades ,4 BHK,2774,2774,4,3,44652,208
Super built-up  Area,Thanisandra,SLaceda,2 BHK,1460,1460,2,2,Ready to move,38.5
Super built-up  Area,Hormavu,ARureig,2 BHK,1075,1075,2,1,Ready to move,53.7
Super built-up  Area,Mysore Road,,3 BHK,1080,1080,2,1,Ready to move,60
Super built-up  Area,Kodihalli,Priesla,4 BHK,3626,3626,5,3,44827,788
Super built-up  Area,Ashraya Layout,,6 BHK,5100,5100,7,,Ready to move,225
Super built-up  Area,Singasandra,SLowse ,2 BHK,1139.7,1139.7,2,1,Ready to move,45
Super built-up  Area,Whitefield,ARipsul,2 BHK,1074,1074,2,1,43578,42.8
Plot  Area,Whitefield,,2 Bedroom,1200,1200,2,1,44013,46.13
Super built-up  Area,Sarjapur  Road,Puallhi,4 BHK,2425,2425,5,1,Ready to move,175
Super built-up  Area,Sarjapur  Road,Maantr ,2 BHK,1323,1323,2,2,Ready to move,74
Super built-up  Area,Hennur Road,Puachal,2 BHK,1232,1232,2,1,44772,69.61
Super built-up  Area,Kalena Agrahara,Prmesi ,2 BHK,900,900,2,1,Ready to move,40
Super built-up  Area,Sarjapura - Attibele Road,Soe 2as,1 BHK,740,740,1,1,Ready to move,23.65
Super built-up  Area,Hebbal,Mahosya,3 BHK,1920,1920,3,2,44068,134
Plot  Area,Arishinakunte,,1 Bedroom,38Guntha,41000,1,0,Ready to move,170
Super built-up  Area,Bannerghatta Road,SNity S,3 BHK,1550,1550,3,2,Ready to move,96
Super built-up  Area,Gunjur,MyhtsHe,3 BHK,1588,1588,2,3,Ready to move,90
Built-up  Area,Rajaji Nagar,,3 Bedroom,2300,2300,4,1,Ready to move,240
Built-up  Area,R.T. Nagar,,9 Bedroom,3600,3600,8,2,Ready to move,165
Built-up  Area,"Thanisandra Main Road, ",,2 BHK,1308,1308,2,1,Ready to move,86
Super built-up  Area,Hennur,MDncyhi,3 BHK,1340,1340,2,2,Ready to move,54.27
Plot  Area,Kogilu,,10 Bedroom,3280,3280,9,3,Ready to move,450
Built-up  Area,Infantry Road,,4 BHK,2170,2170,3,2,Ready to move,265
Super built-up  Area,Thanisandra,Soitya ,3 BHK,1719,1719,3,2,Ready to move,135
Super built-up  Area,Horamavu Agara,Maows M,2 BHK,1107.83,1107.83,2,1,Ready to move,41.51
Plot  Area,Whitefield,,2 Bedroom,1200,1200,2,1,43824,45.84
Built-up  Area,Electronic City,,1 BHK,1090,1090,2,1,45033,31.48
Plot  Area,Sarvabhouma Nagar,,5 Bedroom,1500,1500,5,2,Ready to move,210
Super built-up  Area,Jakkur,BrdgeNo,3 BHK,1660,1660,3,2,43804,104
Super built-up  Area,Nagavara,K dotna,2 BHK,1247,1247,2,1,Ready to move,58.56
Super built-up  Area,Thanisandra,Bhmesy ,3 BHK,1595,1595,3,2,44387,96
Super built-up  Area,Kaggadasapura,JaaldEm,2 BHK,1175,1175,2,2,Ready to move,50
Plot  Area,9th Phase JP Nagar,,8 Bedroom,1200,1200,8,,Ready to move,135
Super built-up  Area,Old Airport Road,VSletes,2 BHK,1184,1184,2,1,Ready to move,78
Super built-up  Area,Byrasandra,Srhan P,2 BHK,1100,1100,2,2,Ready to move,55
Plot  Area,Kaval Byrasandra,,2 Bedroom,935,935,2,0,44354,78
Built-up  Area,Yelahanka,Niareum,2 BHK,1200,1200,2,2,Ready to move,60
Plot  Area,Rajaji Nagar,,5 Bedroom,2400,2400,5,1,Ready to move,408
Super built-up  Area,Neelamangala,,2 BHK,1000,1000,2,1,Ready to move,45
Built-up  Area,Uttarahalli,KBnnupu,2 BHK,1000,1000,2,0,Ready to move,52
Super built-up  Area,Yelahanka,Prensya,3 BHK,1705,1705,3,2,Ready to move,85
Built-up  Area,Tumkur Road,Mairer ,3 BHK,1060,1060,2,2,Ready to move,58.3
Plot  Area,Chikka Tirupathi,Theanmp,4 Bedroom,2325,2325,4,1,Ready to move,120
Super built-up  Area,Kammagondahalli,DiiteR ,3 BHK,1347,1347,2,2,44284,55
Plot  Area,Kathreguppe,,8 Bedroom,1200,1200,8,3,Ready to move,250
Super built-up  Area,Varthur,Unris E,2 BHK,1402,1402,2,2,45117,95
Super built-up  Area,Whitefield,Prtates,3 BHK,2280,2280,4,2,43986,125
Super built-up  Area,Whitefield ECC Road,,2 BHK,1225,1225,2,2,Ready to move,71.05
Super built-up  Area,5th Phase JP Nagar,Maodser,2 BHK,1080,1080,2,1,Ready to move,53
Built-up  Area,Koppa,,7 Bedroom,4000,4000,7,,44239,90
Super built-up  Area,Lavelle Road,,3 BHK,1919,1919,3,0,Ready to move,300
Built-up  Area,Begur Road,Dhalsh ,2 BHK,1100,1100,2,2,Ready to move,42.6
Super built-up  Area,Sarjapur  Road,DSndsod,4 BHK,2500,2500,4,3,Ready to move,225
Super built-up  Area,Bannerghatta Road,PrarePa,2 BHK,1200,1200,2,2,45216,78
Super built-up  Area,Begur Road,Dhalsh ,3 BHK,1565,1565,2,2,Ready to move,57.91
Plot  Area,Maruthi nagar kogilu,,2 Bedroom,1200,1200,3,0,43736,78
Super built-up  Area,Kothanur,,3 BHK,1581,1581,3,3,Ready to move,76
Super built-up  Area,Whitefield,Prtates,4 BHK,2882,2882,5,1,43850,200
Plot  Area,TC Palaya,,5 Bedroom,1440,1440,5,2,Ready to move,97
Super built-up  Area,Krishna Reddy Layout,RahtsHe,3 BHK,2180,2180,3,3,Ready to move,273
Built-up  Area,Nagasandra,,4 Bedroom,7000,7000,8,,Ready to move,450
Super built-up  Area,Abbigere,SLtias ,2 BHK,985,985,2,1,Ready to move,38.92
Built-up  Area,Sarjapur,Sondaka,2 BHK,950,950,2,2,Ready to move,35
Super built-up  Area,Jai Bheema Nagar,,2 BHK,1339,1339,2,2,Ready to move,55
Super built-up  Area,Ayappa Nagar,Spity E,3 BHK,1449,1449,3,1,Ready to move,72
Plot  Area,Chikkasandra,,4 Bedroom,1200,1200,4,2,Ready to move,180
Super built-up  Area,Brindavan Layout,,2 BHK,1100,1100,2,2,44954,38.68
Super built-up  Area,Hoskote,Soose P,2 BHK,929 - 1078,1003,2,0,Ready to move,28.095
Built-up  Area,Kaval Byrasandra,,3 Bedroom,2700,2700,3,2,Ready to move,200
Super built-up  Area,Billamaranahalli,,2 BHK,1100,1100,2,3,Ready to move,55
Built-up  Area,Electronic City,,2 BHK,1140,1140,2,1,45135,32.92
Plot  Area,Sarjapur,Prldsum,3 Bedroom,3009,3009,3,2,Ready to move,330
Super built-up  Area,Hanumantha Nagar,,8 BHK,3300,3300,8,3,Ready to move,310
Built-up  Area,Chandapura,,2 BHK,800,800,1,2,Ready to move,30
Built-up  Area,Chikkabanavar,,5 Bedroom,2000,2000,4,0,Ready to move,65
Plot  Area,Prasanti Nagar,,4 Bedroom,1200,1200,4,1,Ready to move,190
Built-up  Area,3rd Block Hrbr Layout,Icncy R,2 BHK,1300,1300,2,3,Ready to move,95
Super built-up  Area,Kanakpura Road,Hahtsya,2 BHK,1220,1220,2,2,Ready to move,60
Super built-up  Area,Sarjapur  Road,SoniaEt,3 BHK,2289,2289,3,2,Ready to move,178
Super built-up  Area,Whitefield,Suhamra,2 BHK,1170,1170,2,1,44047,56
Super built-up  Area,Vignana Nagar,,2 BHK,1350,1350,2,2,Ready to move,89.5
Super built-up  Area,Kambipura,Prrtht ,2 BHK,883,883,2,1,Ready to move,45
Built-up  Area,Thanisandra,Soitya ,3 BHK,1698,1698,3,2,Ready to move,125
Super built-up  Area,Electronic City Phase II,SNbay G,4 BHK,2150 - 2225,2187,4,0,44841,105
Super built-up  Area,Ambalipura,,2 BHK,1060,1060,2,1,Ready to move,58.5
Super built-up  Area,Somasundara Palya,ManceEl,2 BHK,1185,1185,2,2,Ready to move,75
Super built-up  Area,Padmanabhanagar,SollyCl,3 BHK,2051,2051,3,1,45128,180
Super built-up  Area,Vittasandra,,2 BHK,1404,1404,2,1,Ready to move,72
Super built-up  Area,Electronic City Phase II,Brods W,2 BHK,1252,1252,2,1,Ready to move,67
Super built-up  Area,Bannerghatta Road,,3 BHK,1885,1885,3,1,44148,125
Built-up  Area,Kaikondrahalli,,6 BHK,3381,3381,6,3,Ready to move,225
Super built-up  Area,Hormavu,,2 BHK,980,980,2,2,Ready to move,42
Super built-up  Area,Rajaji Nagar,PhestOn,3 BHK,2500,2500,3,3,Ready to move,340
Super built-up  Area,Banashankari,,3 BHK,1420,1420,3,1,44828,66
Plot  Area,Medahalli,,6 Bedroom,1166,1166,6,,Ready to move,135
Built-up  Area,"Banasawadi, ",,3 BHK,2312,2312,3,2,Ready to move,156
Super built-up  Area,Kaggadasapura,Golmsoy,4 BHK,3000,3000,4,,Ready to move,130
Built-up  Area,Jayamahal,,2 BHK,1175,1175,2,1,Ready to move,70
Super built-up  Area,Vinayaka Nagar,,2 BHK,1145,1145,2,2,Ready to move,51
Built-up  Area,Bhoganhalli,Suwerlo,2 BHK,970,970,2,1,Ready to move,52.5
Built-up  Area,Electronic City,,2 BHK,1125,1125,2,1,44999,32.49
Super built-up  Area,Whitefield,DSersus,3 BHK,1520 - 1759,1639,3,0,45208,92.63
Built-up  Area,9th Phase JP Nagar,ImiteEl,4 BHK,5000,5000,4,,Ready to move,300
Built-up  Area,3rd Block Jayanagar,,3 BHK,2150,2150,3,3,Ready to move,240
Super built-up  Area,Ramagondanahalli,ViistLa,3 BHK,1635,1635,3,1,44340,57
Built-up  Area,Harlur,Femes S,3 Bedroom,3425,3425,3,1,Ready to move,320
Built-up  Area,Hennur Road,Gollela,4 Bedroom,2950,2950,4,3,44994,253
Super built-up  Area,Jalahalli,Vaniai ,1 BHK,1200,1200,2,1,44743,66
Super built-up  Area,Kathriguppe,,3 BHK,1335,1335,2,2,Ready to move,73.43
Super built-up  Area,Hebbal,Brium C,4 BHK,4450,4450,6,0,Ready to move,449
Super built-up  Area,Yeshwanthpur,IBityin,2 BHK,1166,1166,2,1,Ready to move,64.08
Super built-up  Area,Rajaji Nagar,PhestOn,3 BHK,2390,2390,3,1,Ready to move,372
Super built-up  Area,Shivaji Nagar,,3 BHK,1460,1460,2,1,Ready to move,90
Super built-up  Area,Gulimangala,Daxir E,3 BHK,1690,1690,3,3,Ready to move,50
Plot  Area,Nagashetty Halli,,4 Bedroom,1386,1386,3,2,Ready to move,93
Super built-up  Area,Devasandra Extension,,2 BHK,1090,1090,2,2,Ready to move,32
Super built-up  Area,Thanisandra,Bhe 2ko,3 BHK,1732,1732,3,1,43677,85.73
Super built-up  Area,Whitefield,,2 BHK,1390,1390,2,1,Ready to move,72
Built-up  Area,Sector 2 HSR Layout,DShtsow,2 BHK,1095,1095,2,1,Ready to move,85.41
Super built-up  Area,Kengeri,VBn 2lm,1 BHK,416,416,1,1,44636,17.19
Super built-up  Area,Channasandra Layout,,3 BHK,2400,2400,2,3,Ready to move,50
Built-up  Area,Yelahanka,NCs 2rj,3 BHK,1350,1350,2,3,Ready to move,85
Built-up  Area,Bannerghatta Road,,3 BHK,1453,1453,2,2,Ready to move,73
Super built-up  Area,Thanisandra,Moity S,2 BHK,1226,1226,2,1,Ready to move,65
Plot  Area,Kasturi Nagar,,4 Bedroom,784,784,2,2,Ready to move,165
Super built-up  Area,Hegde Nagar,Dhniail,3 BHK,1168,1168,2,1,Ready to move,68
Super built-up  Area,Bannerghatta,Mamespa,3 BHK,1776,1776,3,2,43975,124
Built-up  Area,Whitefield,CMionsy,3 BHK,1634,1634,3,2,Ready to move,68
Plot  Area,Hormavu,,2 Bedroom,860,860,2,0,Ready to move,56
Plot  Area,Kamala Nagar,,3 Bedroom,2800,2800,3,1,Ready to move,400
Super built-up  Area,Nagasandra,,3 BHK,1650,1650,3,2,Ready to move,95
Super built-up  Area,Whitefield,Pae 1ov,2 BHK,1190,1190,2,1,Ready to move,70
Super built-up  Area,JP Nagar,DSvvyx ,2 BHK,1133,1133,2,1,43683,33.99
Super built-up  Area,Suraksha Nagar,AritaFe,3 BHK,1559,1559,3,2,Ready to move,62
Plot  Area,Horamavu Banaswadi,,3 Bedroom,1448,1448,4,0,Ready to move,118
Super built-up  Area,Sathya Sai Layout,Prowshi,4 BHK,6652,6652,6,1,Ready to move,510
Super built-up  Area,Kodichikkanahalli,Prs 2hi,2 BHK,976,976,2,1,Ready to move,50
Plot  Area,Bank Of Baroda Colony,,4 Bedroom,1350,1350,4,3,Ready to move,240
Super built-up  Area,Yelahanka,,3 BHK,1590,1590,2,2,Ready to move,54
Super built-up  Area,Binny Pete,Shestlo,4 BHK,2940,2940,6,2,44767,201
Built-up  Area,Yelahanka,NCarkna,3 BHK,1633,1633,3,2,Ready to move,110
Super built-up  Area,Ramagondanahalli,ViistLa,2 BHK,1151,1151,2,2,44987,46
Super built-up  Area,Kereguddadahalli,DSdorSp,3 BHK,1400,1400,2,2,Ready to move,42
Super built-up  Area,Uttarahalli,DSera S,2 BHK,1037,1037,2,1,44725,36
Super built-up  Area,Thanisandra,SLaceda,2 BHK,1188,1188,2,1,Ready to move,36
Super built-up  Area,Raja Rajeshwari Nagar 5th Stage,Amnavdr,2 BHK,1060,1060,2,1,Ready to move,52
Super built-up  Area,Thigalarapalya,Prtanha,3 BHK,2215,2215,4,2,Ready to move,162
Super built-up  Area,Hennur,,2 BHK,1255,1255,2,2,Ready to move,54.5
Plot  Area,Ganesha Block,,3 Bedroom,2500,2500,2,1,Ready to move,300
Super built-up  Area,Hormavu,ARureig,2 BHK,1075,1075,2,1,Ready to move,53.7
Super built-up  Area,Harlur,Prncyrn,4 BHK,2569,2569,5,3,44197,180
Super built-up  Area,ITPL,,2 BHK,900,900,2,1,45242,27
Super built-up  Area,Kudlu Gate,Sanzaat,2 BHK,1183,1183,2,1,44433,79.54
Super built-up  Area,HSR Layout,Veyal V,2 BHK,1100,1100,2,2,Ready to move,44
Super built-up  Area,GM Palaya,,3 BHK,1643,1643,2,2,Ready to move,70
Super built-up  Area,Banagiri Nagar,,3 BHK,1500,1500,2,2,Ready to move,120
Super built-up  Area,Jakkur,HRaniIb,2 BHK,1291,1291,2,1,Ready to move,75
Plot  Area,Hennur,,3 Bedroom,1150,1150,3,2,43528,80
Super built-up  Area,Electronic City,GMown E,2 BHK,1060,1060,2,1,Ready to move,55
Super built-up  Area,7th Phase JP Nagar,Eladero,3 BHK,1575,1575,2,2,Ready to move,110
Plot  Area,BHEL Layout,,5 Bedroom,1200,1200,4,1,Ready to move,160
Built-up  Area,Byrathi Village,,4 Bedroom,1700,1700,3,2,Ready to move,55
Super built-up  Area,Mahadevpura,Neisei ,2 BHK,1236,1236,2,1,Ready to move,58
Built-up  Area,Ramamurthy Nagar,,3 BHK,1350,1350,2,2,Ready to move,39
